date,state,district,pincode,bio_age_5_17,bio_age_17_,total_updates
2025-03-01,Rajasthan,Jaipur,302015,181,371,552
2025-03-01,Rajasthan,Jaipur,303901,197,399,596
2025-03-01,Rajasthan,Jaipur,303908,109,160,269
2025-03-01,Rajasthan,Jaipur,302022,89,169,258
2025-03-01,Rajasthan,Jaipur,303806,148,193,341
2025-03-01,Rajasthan,Jaipur,303904,83,126,209
2025-03-01,Rajasthan,Jaipur,303604,209,349,558
2025-03-01,Rajasthan,Jaipur,302017,379,684,1063
2025-03-01,Rajasthan,Jaipur,303003,156,265,421
2025-03-01,Rajasthan,Jaipur,303121,17,11,28
2025-03-01,Rajasthan,Jaipur,303601,63,218,281
2025-03-01,Rajasthan,Jaipur,303802,28,58,86
2025-03-01,Rajasthan,Jaipur,303507,32,61,93
2025-03-01,Rajasthan,Jaipur,303110,207,237,444
2025-03-01,Rajasthan,Jaipur,303805,273,239,512
2025-04-01,Rajasthan,Jaipur,303105,223,327,550
2025-05-01,Rajasthan,Jaipur,302005,14,40,54
2025-05-01,Rajasthan,Jaipur,303109,224,312,536
2025-05-01,Rajasthan,Jaipur,302027,207,334,541
2025-05-01,Rajasthan,Jaipur,302034,84,207,291
2025-04-01,Rajasthan,Jaipur,302033,204,351,555
2025-04-01,Rajasthan,Jaipur,303005,145,254,399
2025-04-01,Rajasthan,Jaipur,303012,235,436,671
2025-03-01,Rajasthan,Jaipur,303005,165,249,414
2025-04-01,Rajasthan,Jaipur,302002,470,895,1365
2025-04-01,Rajasthan,Jaipur,303702,181,220,401
2025-04-01,Rajasthan,Jaipur,302031,320,484,804
2025-04-01,Rajasthan,Jaipur,302022,84,129,213
2025-04-01,Rajasthan,Jaipur,303008,172,279,451
2025-04-01,Rajasthan,Jaipur,303712,169,255,424
2025-04-01,Rajasthan,Jaipur,302028,286,483,769
2025-04-01,Rajasthan,Jaipur,302027,241,369,610
2025-04-01,Rajasthan,Jaipur,302034,100,212,312
2025-05-01,Rajasthan,Jaipur,302026,90,172,262
2025-04-01,Rajasthan,Jaipur,303903,95,213,308
2025-04-01,Rajasthan,Jaipur,303804,187,216,403
2025-05-01,Rajasthan,Jaipur,303805,141,176,317
2025-05-01,Rajasthan,Jaipur,302032,19,53,72
2025-06-01,Rajasthan,Jaipur,303106,240,328,568
2025-06-01,Rajasthan,Jaipur,303804,121,137,258
2025-05-01,Rajasthan,Jaipur,302022,71,123,194
2025-05-01,Rajasthan,Jaipur,303104,182,312,494
2025-05-01,Rajasthan,Jaipur,303807,64,105,169
2025-05-01,Rajasthan,Jaipur,302037,13,15,28
2025-05-01,Rajasthan,Jaipur,302039,246,473,719
2025-06-01,Rajasthan,Jaipur,303712,203,224,427
2025-07-01,Rajasthan,Jaipur,303121,15,21,36
2025-10-20,Rajasthan,Jaipur,303106,1,0,1
2025-10-20,Rajasthan,Jaipur,303602,1,1,2
2025-10-20,Rajasthan,Jaipur,303603,1,1,2
2025-10-20,Rajasthan,Jaipur,303803,1,0,1
2025-10-21,Rajasthan,Jaipur,302032,1,0,1
2025-10-26,Rajasthan,Jaipur,303507,2,1,3
2025-10-26,Rajasthan,Jaipur,303712,5,3,8
2025-10-19,Rajasthan,Jaipur,302024,0,1,1
2025-10-19,Rajasthan,Jaipur,302025,0,1,1
2025-10-19,Rajasthan,Jaipur,303005,12,3,15
2025-10-18,Rajasthan,Jaipur,302037,0,2,2
2025-10-16,Rajasthan,Jaipur,302023,0,2,2
2025-11-02,Rajasthan,Jaipur,303006,8,3,11
2025-11-02,Rajasthan,Jaipur,303348,7,11,18
2025-11-02,Rajasthan,Jaipur,303712,10,9,19
2025-11-02,Rajasthan,Jaipur,303807,2,4,6
2025-11-16,Rajasthan,Jaipur,303328,13,21,34
2025-11-16,Rajasthan,Jaipur,303602,10,5,15
2025-12-04,Rajasthan,Jaipur,302037,1,0,1
2025-12-11,Rajasthan,Jaipur,303121,1,0,1
2025-12-03,Rajasthan,Jaipur,302024,1,0,1
2025-12-05,Rajasthan,Jaipur,303802,0,1,1
2026-01-03,Rajasthan,Jaipur,302003,9,14,23
2026-01-03,Rajasthan,Jaipur,302004,6,7,13
2026-01-03,Rajasthan,Jaipur,302005,1,0,1
2026-01-03,Rajasthan,Jaipur,302012,18,12,30
2026-01-03,Rajasthan,Jaipur,302013,5,6,11
2026-01-03,Rajasthan,Jaipur,302015,2,1,3
2026-01-03,Rajasthan,Jaipur,302018,3,4,7
2026-01-03,Rajasthan,Jaipur,302028,4,3,7
2026-01-03,Rajasthan,Jaipur,303006,1,0,1
2026-01-03,Rajasthan,Jaipur,303008,2,6,8
2026-01-03,Rajasthan,Jaipur,303102,4,2,6
2026-01-03,Rajasthan,Jaipur,303103,6,6,12
2026-01-03,Rajasthan,Jaipur,303106,4,1,5
2026-01-03,Rajasthan,Jaipur,303120,2,3,5
2026-01-03,Rajasthan,Jaipur,303301,3,6,9
2026-01-03,Rajasthan,Jaipur,303302,2,0,2
2026-01-03,Rajasthan,Jaipur,303338,4,5,9
2026-01-03,Rajasthan,Jaipur,303348,3,0,3
2026-01-03,Rajasthan,Jaipur,303704,0,2,2
2026-01-03,Rajasthan,Jaipur,303706,2,1,3
2026-01-03,Rajasthan,Jaipur,303803,1,3,4
2026-01-03,Rajasthan,Jaipur,303901,2,2,4
2026-01-03,Rajasthan,Jaipur,303908,1,2,3
2026-01-02,Rajasthan,Jaipur,302006,31,36,67
2026-01-02,Rajasthan,Jaipur,302019,21,30,51
2026-01-02,Rajasthan,Jaipur,302022,6,7,13
2026-01-02,Rajasthan,Jaipur,302023,0,8,8
2026-01-02,Rajasthan,Jaipur,302025,0,4,4
2026-01-02,Rajasthan,Jaipur,302037,0,2,2
2026-01-02,Rajasthan,Jaipur,303004,8,4,12
2026-01-02,Rajasthan,Jaipur,303107,13,24,37
2026-01-02,Rajasthan,Jaipur,303329,0,1,1
2026-01-02,Rajasthan,Jaipur,303601,8,10,18
2026-01-02,Rajasthan,Jaipur,303802,0,1,1
2026-01-02,Rajasthan,Jaipur,303804,25,7,32
2026-01-02,Rajasthan,Jaipur,303805,16,18,34
2025-12-28,Rajasthan,Jaipur,302001,17,15,32
2025-12-28,Rajasthan,Jaipur,302002,11,25,36
2025-12-28,Rajasthan,Jaipur,302003,14,13,27
2025-12-28,Rajasthan,Jaipur,302004,12,8,20
2025-12-28,Rajasthan,Jaipur,302005,1,1,2
