date,state,district,pincode,demo_age_5_17,demo_age_17_,total_updates
2025-03-01,Rajasthan,Jaipur,303110,86,893,979
2025-03-01,Rajasthan,Jaipur,303901,69,900,969
2025-03-01,Rajasthan,Jaipur,303805,78,660,738
2025-03-01,Rajasthan,Jaipur,303908,48,931,979
2025-03-01,Rajasthan,Jaipur,303005,65,853,918
2025-03-01,Rajasthan,Jaipur,303507,11,64,75
2025-03-01,Rajasthan,Jaipur,303003,76,583,659
2025-04-01,Rajasthan,Jaipur,302022,47,335,382
2025-04-01,Rajasthan,Jaipur,303012,90,549,639
2025-04-01,Rajasthan,Jaipur,303702,59,401,460
2025-04-01,Rajasthan,Jaipur,302031,162,1221,1383
2025-04-01,Rajasthan,Jaipur,302033,149,886,1035
2025-04-01,Rajasthan,Jaipur,302027,106,837,943
2025-04-01,Rajasthan,Jaipur,302002,142,1445,1587
2025-04-01,Rajasthan,Jaipur,302034,60,381,441
2025-05-01,Rajasthan,Jaipur,302039,128,872,1000
2025-05-01,Rajasthan,Jaipur,302027,86,708,794
2025-03-01,Rajasthan,Jaipur,303604,71,595,666
2025-03-01,Rajasthan,Jaipur,303601,28,177,205
2025-03-01,Rajasthan,Jaipur,303806,35,560,595
2025-03-01,Rajasthan,Jaipur,302017,162,1157,1319
2025-03-01,Rajasthan,Jaipur,302015,42,419,461
2025-03-01,Rajasthan,Jaipur,302022,31,312,343
2025-03-01,Rajasthan,Jaipur,303904,38,794,832
2025-07-01,Rajasthan,Jaipur,302029,232,1685,1917
2025-07-01,Rajasthan,Jaipur,302017,196,1511,1707
2025-09-01,Rajasthan,Jaipur,302011,1,2,3
2025-09-01,Rajasthan,Jaipur,302024,0,1,1
2025-09-01,Rajasthan,Jaipur,302034,0,8,8
2025-09-01,Rajasthan,Jaipur,302039,9,23,32
2025-09-01,Rajasthan,Jaipur,303004,1,1,2
2025-09-01,Rajasthan,Jaipur,303104,1,9,10
2025-09-01,Rajasthan,Jaipur,303108,8,39,47
2025-09-01,Rajasthan,Jaipur,303601,2,7,9
2025-09-01,Rajasthan,Jaipur,303604,2,6,8
2025-09-01,Rajasthan,Jaipur,303712,1,4,5
2025-09-01,Rajasthan,Jaipur,303807,0,3,3
2025-09-01,Rajasthan,Jaipur,303905,1,13,14
2025-09-01,Rajasthan,Jaipur,303908,2,13,15
2025-09-02,Rajasthan,Jaipur,302006,2,22,24
2025-09-02,Rajasthan,Jaipur,302012,13,84,97
2025-09-02,Rajasthan,Jaipur,302029,6,38,44
2025-09-02,Rajasthan,Jaipur,302032,0,4,4
2025-09-02,Rajasthan,Jaipur,303001,0,2,2
2025-09-02,Rajasthan,Jaipur,303004,0,3,3
2025-09-02,Rajasthan,Jaipur,303104,3,13,16
2025-09-02,Rajasthan,Jaipur,303302,1,2,3
2025-09-02,Rajasthan,Jaipur,303305,0,5,5
2025-09-02,Rajasthan,Jaipur,303348,0,4,4
2025-09-02,Rajasthan,Jaipur,303712,4,3,7
2025-09-02,Rajasthan,Jaipur,303801,1,1,2
2025-09-02,Rajasthan,Jaipur,303805,2,13,15
2025-09-03,Rajasthan,Jaipur,302004,2,30,32
2025-09-03,Rajasthan,Jaipur,302012,2,77,79
2025-09-03,Rajasthan,Jaipur,302018,0,6,6
2025-09-03,Rajasthan,Jaipur,302021,4,21,25
2025-09-03,Rajasthan,Jaipur,302026,2,16,18
2025-09-03,Rajasthan,Jaipur,303012,2,8,10
2025-09-03,Rajasthan,Jaipur,303328,0,6,6
2025-09-03,Rajasthan,Jaipur,303803,0,1,1
2025-09-03,Rajasthan,Jaipur,303904,0,9,9
2025-09-04,Rajasthan,Jaipur,302003,8,63,71
2025-09-04,Rajasthan,Jaipur,302015,1,14,15
2025-09-04,Rajasthan,Jaipur,302017,6,37,43
2025-09-04,Rajasthan,Jaipur,302021,4,28,32
2025-09-04,Rajasthan,Jaipur,302028,2,11,13
2025-09-04,Rajasthan,Jaipur,302029,7,60,67
2025-09-04,Rajasthan,Jaipur,302033,1,17,18
2025-09-04,Rajasthan,Jaipur,303004,2,3,5
2025-09-04,Rajasthan,Jaipur,303005,4,19,23
2025-09-04,Rajasthan,Jaipur,303103,4,20,24
